registro_id,data,turno,lab_id,codigo_disciplina,disciplina,curso,docente,finalidade,participantes_previstos,presenca_real,reserva_confirmada
U0204,2026-02-20,Noite,LAB08,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Projeto,30.0,31.0,Sim
U0205,2026-02-23,Manhã,LAB01,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula regular,25.0,22.0,Sim
U0206,2026-02-23,Tarde,LAB01,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Projeto,30.0,28.0,Sim
U0207,2026-02-23,Manhã,LAB02,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Monitoria,19.0,21.0,Sim
U0208,2026-02-23,Tarde,LAB02,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Projeto,22.0,24.0,Sim
U0209,2026-02-23,Noite,LAB02,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,32.0,28.0,Sim
U0210,2026-02-23,Tarde,LAB03,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Projeto,24.0,23.0,Sim
U0211,2026-02-23,Manhã,LAB04,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Projeto,13.0,9.0,Sim
U0212,2026-02-23,Manhã,LAB05,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula regular,15.0,12.0,Sim
U0213,2026-02-23,Manhã,LAB06,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Projeto,15.0,16.0,Não
U0214,2026-02-23,Manhã,LAB07,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula regular,16.0,12.0,Sim
U0215,2026-02-23,Manhã,LAB08,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Projeto,30.0,32.0,Sim
U0216,2026-02-23,Tarde,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Aula prática,20.0,20.0,Sim
U0217,2026-02-23,Noite,LAB08,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Projeto,25.0,27.0,Não
U0218,2026-02-24,Manhã,LAB01,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Avaliação prática,30.0,33.0,Sim
U0219,2026-02-24,Manhã,LAB02,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Aula prática,20.0,20.0,Sim
U0220,2026-02-24,Tarde,LAB02,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Projeto,24.0,27.0,Sim
U0221,2026-02-24,Manhã,LAB03,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula prática,24.0,26.0,Sim
U0222,2026-02-24,Noite,LAB03,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Avaliação prática,18.0,14.0,Não
U0223,2026-02-24,Manhã,LAB04,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Projeto,15.0,16.0,Sim
U0224,2026-02-24,Tarde,LAB05,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Monitoria,11.0,9.0,Não
U0225,2026-02-24,Noite,LAB05,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Aula regular,13.0,10.0,Não
U0226,2026-02-24,Manhã,LAB06,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,11.0,11.0,Sim
U0227,2026-02-24,Noite,LAB06,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Aula prática,13.0,10.0,Não
U0228,2026-02-24,Manhã,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Monitoria,16.0,13.0,Sim
U0229,2026-02-24,Tarde,LAB07,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Monitoria,13.0,11.0,Sim
U0230,2026-02-24,Noite,LAB07,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Aula prática,11.0,10.0,Sim
U0231,2026-02-24,Manhã,LAB08,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula prática,28.0,26.0,Sim
U0232,2026-02-24,Tarde,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Avaliação prática,29.0,31.0,Sim
U0233,2026-02-24,Noite,LAB08,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Avaliação prática,16.0,19.0,Sim
U0234,2026-02-25,Manhã,LAB01,DCA0702,Projetos Integradores,EC,Prof. Bruno Costa,Projeto,32.0,30.0,Sim
U0235,2026-02-25,Noite,LAB01,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula regular,20.0,18.0,Sim
U0236,2026-02-25,Tarde,LAB02,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Avaliação prática,17.0,17.0,Sim
U0237,2026-02-25,Noite,LAB02,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula regular,32.0,29.0,Sim
U0238,2026-02-25,Manhã,LAB03,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Aula prática,23.0,19.0,Sim
U0239,2026-02-25,Manhã,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Aula prática,24.0,26.0,Não
U0240,2026-02-25,Noite,LAB04,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Projeto,16.0,19.0,Sim
U0241,2026-02-25,Manhã,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Projeto,10.0,8.0,Não
U0242,2026-02-25,Tarde,LAB05,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Monitoria,19.0,17.0,Sim
U0243,2026-02-25,Manhã,LAB06,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula regular,18.0,15.0,Não
U0244,2026-02-25,Tarde,LAB06,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Aula prática,13.0,11.0,Sim
U0245,2026-02-25,Tarde,LAB07,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Monitoria,11.0,12.0,Sim
U0246,2026-02-25,Manhã,LAB08,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,28.0,31.0,Sim
U0247,2026-02-25,Tarde,LAB08,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Aula regular,30.0,32.0,Sim
U0248,2026-02-25,Noite,LAB08,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Avaliação prática,29.0,32.0,Sim
U0249,2026-02-26,Tarde,LAB01,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula prática,26.0,28.0,Não
U0250,2026-02-26,Noite,LAB01,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Monitoria,21.0,22.0,Sim
U0251,2026-02-26,Manhã,LAB02,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,32.0,32.0,Sim
U0252,2026-02-26,Tarde,LAB02,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Avaliação prática,27.0,28.0,Sim
U0253,2026-02-26,Manhã,LAB03,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Aula prática,25.0,21.0,Sim
U0254,2026-02-26,Manhã,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Avaliação prática,21.0,19.0,Sim
U0255,2026-02-26,Tarde,LAB04,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Monitoria,23.0,23.0,Não
U0256,2026-02-26,Manhã,LAB05,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula prática,10.0,11.0,Não
U0257,2026-02-26,Noite,LAB06,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Avaliação prática,14.0,13.0,Não
U0258,2026-02-26,Manhã,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula regular,18.0,20.0,Sim
U0259,2026-02-26,Tarde,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Ana Lima,Projeto,10.0,9.0,Sim
U0260,2026-02-26,Noite,LAB07,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,12.0,14.0,Não
U0261,2026-02-26,Noite,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Monitoria,30.0,29.0,Não
U0262,2026-02-27,Manhã,LAB01,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Monitoria,20.0,23.0,Sim
U0263,2026-02-27,Noite,LAB02,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Avaliação prática,21.0,20.0,Sim
U0264,2026-02-27,Manhã,LAB03,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Monitoria,22.0,21.0,Não
U0265,2026-02-27,Tarde,LAB03,DCA0702,Projetos Integradores,EC,Prof. Ana Lima,Avaliação prática,21.0,21.0,Não
U0266,2026-02-27,Manhã,LAB04,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula prática,24.0,22.0,Sim
U0267,2026-02-27,Noite,LAB04,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Aula regular,22.0,22.0,Sim
U0268,2026-02-27,Tarde,LAB05,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Aula prática,21.0,21.0,Sim
U0269,2026-02-27,Noite,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula prática,18.0,17.0,Sim
U0270,2026-02-27,Manhã,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula prática,17.0,14.0,Sim
U0271,2026-02-27,Tarde,LAB06,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Monitoria,17.0,16.0,Sim
U0272,2026-02-27,Tarde,LAB07,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Projeto,12.0,8.0,Sim
U0273,2026-02-27,Manhã,LAB08,DCA0702,Projetos Integradores,EC,Prof. Bruno Costa,Monitoria,26.0,29.0,Sim
U0274,2026-02-27,Tarde,LAB08,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,17.0,18.0,Não
U0031,2026-02-03,Manhã,LAB08,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Aula prática,17.0,13.0,Sim
